KO	WT
1	199.471820438553	207.823503395454
2	190.270440655634	196.066107852987
3	181.6983887047	184.823051777687
4	190.498858518612	196.94256472037
5	165.946761079537	163.648072418008
6	188.509215462372	195.36859699795
7	176.901933100628	173.485402528231
8	167.148649034635	168.608649427326
9	186.783336652121	196.122839323915
10	191.682530262139	202.64619752177
11	180.120504371683	180.379197078472
12	177.039208095189	183.515614977283
13	171.010077940583	178.893288106995
14	177.847956741225	180.269523959314
15	166.388824081254	166.765178306633
